Unnamed: 0,address,city,floor,id,latitude,longitude,price,rooms,sq,year
1427,Jezyce ul Przygraniczna,Poznan,1.0,3278.0,52.4338323,16.8020014,395524.0,3.0,64.84,2022.0
1428,Krowodrza Augustynka Wichury,Krakow,1.0,27256.0,50.0789658,19.9310892,547000.0,3.0,64.5,2000.0
1429,Grzegorzki ul pk Francesco Nullo,Krakow,2.0,28833.0,50.0469432,19.997153435836697,783622.0,3.0,70.28,2022.0
1430,Stare Miasto Centrum Wroniecka,Poznan,2.0,5442.0,52.4104177,16.9342136,330000.0,1.0,34.4,1950.0
1431,Ursus,Warszawa,1.0,11339.0,52.1960985,20.8828989,495932.0,3.0,52.0,2021.0
1432,Biaoeka Tarchomin,Warszawa,1.0,16403.0,52.32069265,20.970833868701,440000.0,2.0,47.5,2005.0
1433,Krowodrza Kazimierza Wielkiego,Krakow,3.0,21414.0,50.073573,19.9193678,936000.0,3.0,62.25,2014.0
1434,Bronowice Stanczyka,Krakow,5.0,28262.0,50.0788285,19.8942504,339000.0,1.0,29.33,2021.0
1435,Stare Miasto Studencka,Krakow,2.0,25908.0,50.0626308,19.9319297,1199000.0,2.0,67.1,2019.0
1436,Prsdnik Czerwony Janusza Meissnera,Krakow,4.0,21373.0,50.07607065,19.97947475,425000.0,3.0,70.0,2001.0
1437,Wola ul Jana Kazimierza,Warszawa,1.0,9812.0,52.2245316,20.9479724,740000.0,3.0,60.3,2010.0
1438,Ochota,Warszawa,2.0,17874.0,52.212225,20.9726299,786000.0,2.0,48.0,1936.0
1439,Grunwald Jana Keplera,Poznan,2.0,2092.0,52.3908005,16.8639102,380000.0,3.0,63.0,1979.0
1440,Stare Miasto Mikoaja Zyblikiewicza,Krakow,1.0,25721.0,50.0605245,19.9441727,790000.0,3.0,83.68,1905.0
1441,Nowa Huta,Krakow,0.0,19624.0,50.080618650000005,20.12933219800524,340000.0,2.0,40.0,1950.0
1442,Podgorze Duchackie Wola Duchacka Puszkarska,Krakow,5.0,21935.0,50.0238506,19.9601831,930673.0,5.0,104.57,2021.0
1443,Bielany Stare Bielany,Warszawa,1.0,7901.0,52.2818172,20.9493596,886500.0,3.0,65.66,2020.0
1444,Stare Miasto,Krakow,4.0,27958.0,50.0590398,19.93716829792899,240600.0,1.0,16.04,2021.0
1445,Wola,Warszawa,0.0,12036.0,52.2362379,20.9547815,486831.0,2.0,42.96,2022.0
1446,Mokotow,Warszawa,3.0,8106.0,52.1939874,21.0457809,550000.0,2.0,36.5,1955.0
